Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.131,-7.61,-7.86,1
0.151,-7.61,-7.86,1
0.172,-7.61,-7.98,1
0.191,-7.61,-7.86,1
0.212,-7.61,-7.86,1
0.232,-7.61,-7.86,1
0.251,-7.49,-7.86,1
0.272,-7.61,-7.98,1
0.291,-7.61,-7.86,1
0.312,-7.61,-7.86,1
0.332,-7.61,-7.98,1
0.352,-7.49,-7.86,1
0.372,-7.49,-7.86,1
0.392,-7.49,-7.86,1
0.412,-7.61,-7.98,1
0.432,-7.61,-7.86,1
0.452,-7.49,-7.86,1
0.472,-7.61,-7.98,1
0.492,-7.61,-7.86,1
0.511,-7.49,-7.86,1
0.532,-7.49,-7.86,1
0.532,-7.61,-7.86,1
0.552,-7.61,-7.86,1
0.572,-7.61,-7.86,1
0.593,-7.61,-7.86,1
0.613,-7.49,-7.86,1
0.632,-7.49,-7.86,1
0.653,-7.49,-7.86,1
0.673,-7.61,-7.86,1
0.692,-7.61,-7.86,1
0.712,-7.49,-7.86,1
0.733,-7.61,-7.98,1
0.753,-7.61,-7.86,1
0.772,-7.61,-7.86,1
0.792,-7.61,-7.86,1
0.813,-7.49,-7.98,1
0.832,-7.49,-7.86,1
0.853,-7.61,-7.86,1
0.872,-7.49,-7.86,1
0.892,-7.49,-7.86,1
0.912,-7.61,-7.86,1
0.932,-7.49,-7.86,1
0.932,-7.49,-7.86,1
0.953,-7.61,-7.98,1
0.972,-7.61,-7.86,1
0.993,-7.49,-7.86,1
1.013,-7.61,-7.86,1
1.032,-7.61,-7.98,1
1.053,-7.61,-7.86,1
1.073,-7.61,-7.98,1
1.092,-7.49,-7.98,1
1.113,-7.61,-7.86,1
1.133,-7.61,-7.86,1
1.153,-7.49,-7.86,1
1.173,-7.61,-7.86,1
1.194,-7.49,-7.86,1
1.213,-7.61,-7.86,1
1.233,-7.61,-7.86,1
1.253,-7.49,-7.86,1
1.273,-7.49,-7.86,1
1.293,-7.61,-7.86,1
1.312,-7.61,-7.86,1
1.333,-7.61,-7.86,1
1.353,-7.61,-7.86,1
1.373,-7.61,-7.86,1
1.393,-7.61,-7.86,1
1.413,-7.49,-7.86,1
1.433,-7.49,-7.86,1
1.453,-7.61,-7.86,1
1.473,-7.61,-7.86,1
1.493,-7.49,-7.86,1
1.513,-7.61,-7.86,1
1.533,-7.61,-7.98,1
1.553,-7.61,-7.98,1
1.573,-7.61,-7.86,1
1.593,-7.49,-7.86,1
1.613,-7.61,-7.86,1
1.634,-7.49,-7.86,1
1.653,-7.61,-7.86,1
1.673,-7.61,-7.86,1
1.693,-7.61,-7.86,1
1.713,-7.61,-7.98,1
1.733,-7.61,-7.86,1
1.754,-7.61,-7.86,1
1.774,-7.49,-7.86,1
1.794,-7.49,-7.98,1
1.814,-7.49,-7.86,1
1.834,-7.61,-7.86,1
1.854,-7.49,-7.86,1
1.874,-7.61,-7.86,1
1.894,-7.61,-7.86,1
1.913,-7.49,-7.86,1
1.934,-7.61,-7.86,1
1.954,-7.61,-7.86,1
1.973,-7.49,-7.86,1
1.994,-7.61,-7.86,1
2.014,-7.61,-7.86,1
2.034,-7.61,-7.98,1
2.054,-7.49,-7.86,1
2.074,-7.61,-7.86,1
2.094,-7.61,-7.86,1
2.114,-7.61,-7.86,1
2.134,-7.49,-7.86,1
2.154,-7.61,-7.86,1
2.174,-7.61,-7.86,1
2.195,-7.61,-7.98,1
2.215,-7.61,-7.86,1
2.234,-7.49,-7.86,1
2.254,-7.61,-7.86,1
2.274,-7.49,-7.86,1
2.294,-7.49,-7.86,1
2.314,-7.49,-7.86,1
2.334,-7.49,-7.86,1
2.354,-7.49,-7.86,1
2.374,-7.61,-7.86,1
2.395,-7.49,-7.86,1
2.414,-7.61,-7.86,1
2.434,-7.61,-7.98,1
2.454,-7.61,-7.86,1
2.475,-7.61,-7.86,1
2.494,-7.61,-7.86,1
2.515,-7.49,-7.86,1
2.534,-7.61,-7.86,1
2.534,-7.61,-7.86,1
2.555,-7.49,-7.98,1
2.575,-7.61,-7.98,1
2.595,-7.49,-7.86,1
2.615,-7.49,-7.86,1
2.634,-7.61,-7.98,1
2.655,-7.49,-7.86,1
2.675,-7.61,-7.86,1
2.695,-7.61,-7.86,1
2.715,-7.61,-7.86,1
2.735,-7.61,-7.98,1
2.755,-7.61,-7.86,1
2.775,-7.61,-7.86,1
2.795,-7.61,-7.86,1
2.815,-7.61,-7.86,1
2.835,-7.49,-7.86,1
2.855,-7.61,-7.98,1
2.874,-7.49,-7.86,1
2.895,-7.49,-7.86,1
2.915,-7.61,-7.86,1
2.935,-7.61,-7.86,1
2.955,-7.61,-7.86,1
2.976,-7.61,-7.86,1
2.995,-7.49,-7.86,1
3.015,-7.49,-7.86,1
3.036,-7.61,-7.86,1
3.056,-7.61,-7.98,1
3.076,-7.49,-7.86,1
3.096,-7.61,-7.86,1
3.116,-7.61,-7.86,1
3.136,-7.61,-7.86,1
3.156,-7.49,-7.86,1
3.176,-7.49,-7.86,1
3.196,-7.49,-7.86,1
3.215,-7.49,-7.98,1
3.236,-7.49,-7.86,1
3.256,-7.49,-7.86,1
3.275,-7.61,-7.98,1
3.296,-7.61,-7.98,1
3.315,-7.49,-7.86,1
3.336,-7.49,-7.86,1
3.356,-7.12,-7.86,1
3.377,-6.63,-7.98,1
3.397,-6.63,-7.86,1
3.417,-6.76,-7.86,1
3.437,-6.88,-7.98,1
3.456,-7.0,-7.98,1
3.477,-7.12,-7.86,1
3.496,-7.25,-7.86,1
3.516,-7.37,-7.98,1
3.536,-7.37,-7.98,1
3.556,-7.37,-7.86,1
3.577,-7.49,-7.86,1
3.596,-7.49,-7.86,1
3.617,-7.49,-7.86,1
3.637,-7.49,-7.86,1
3.657,-7.49,-7.86,1
3.676,-7.49,-7.98,1
3.697,-7.49,-7.98,1
3.717,-7.49,-7.86,1
3.737,-7.49,-7.98,1
3.737,-7.49,-8.35,1
3.757,-7.49,-8.71,1
3.777,-7.49,-8.96,1
3.797,-7.49,-8.71,1
3.817,-7.61,-8.59,1
3.837,-7.49,-8.35,1
3.857,-7.49,-8.22,1
3.877,-7.61,-8.1,1
3.897,-7.49,-8.1,1
3.917,-7.49,-7.98,1
3.938,-7.49,-7.98,1
3.957,-7.49,-7.98,1
3.977,-7.49,-7.98,1
3.998,-7.49,-7.98,1
4.017,-7.61,-7.98,1
4.037,-7.49,-7.86,1
4.058,-7.49,-7.98,1
4.077,-7.49,-7.98,1
4.097,-7.61,-7.86,1
4.117,-7.61,-7.86,1
4.138,-7.61,-7.98,1
4.138,-7.61,-7.98,1
4.158,-7.61,-7.86,1
4.178,-7.61,-7.98,1
4.198,-7.49,-7.86,1
4.218,-7.49,-7.98,1
4.238,-7.49,-7.86,1
4.258,-7.49,-7.86,1
4.278,-7.49,-7.86,1
4.298,-7.49,-7.98,1
4.318,-7.49,-7.86,1
4.338,-7.61,-7.86,1
4.358,-7.61,-7.98,1
4.378,-7.49,-7.98,1
4.398,-7.61,-7.86,1
4.418,-7.61,-7.86,1
4.439,-7.49,-7.98,1
4.458,-7.61,-7.98,1
4.478,-7.49,-7.86,1
4.498,-7.61,-7.86,1
4.518,-7.49,-7.86,1
4.538,-7.49,-7.86,1
4.538,-7.49,-7.86,1
4.559,-7.61,-7.86,1
4.579,-7.49,-7.98,1
4.598,-7.49,-7.86,1
4.618,-7.0,-7.73,1
4.639,-6.27,-6.88,1
4.658,-5.17,-5.9,1
4.678,-4.44,-5.17,1
4.699,-3.82,-4.56,1
4.718,-3.21,-4.19,1
4.738,-2.6,-3.7,1
4.758,-2.36,-3.34,1
4.778,-1.99,-2.97,1
4.798,-1.99,-2.72,1
4.818,-1.5,-2.6,0
4.838,-1.01,-2.48,0
4.858,-1.01,-2.36,0
4.878,-1.01,-2.24,0
4.898,-1.01,-2.11,0
4.919,-0.89,-1.99,0
4.939,-0.53,-1.87,0
4.939,-0.65,-1.87,0
4.959,-0.65,-1.75,0
4.98,-0.65,-1.87,0
5.0,-0.28,-1.75,0
5.019,-0.28,-1.75,0
5.039,-0.53,-1.75,0
5.059,-0.53,-1.63,0
5.079,-0.4,-1.63,0
5.1,-0.16,-1.5,0
5.119,-0.16,-1.5,0
5.139,-0.28,-1.5,0
5.159,-0.4,-1.5,0
5.18,-0.53,-1.5,0
5.2,-0.04,-1.5,0
5.22,-0.4,-1.87,0
5.239,-2.6,-3.7,0
5.259,-4.44,-5.54,0
5.28,-5.78,-8.22,0
5.299,-7.98,-9.69,0
5.319,-9.45,-10.3,0
5.34,-10.18,-10.67,0
5.36,-10.79,-10.91,0
5.38,-11.03,-11.03,0
5.401,-11.03,-11.03,0
5.42,-11.03,-11.16,0
5.44,-11.28,-11.16,0
5.461,-11.28,-11.28,0
5.48,-11.28,-11.28,0
5.5,-11.28,-11.16,0
5.52,-11.4,-11.28,0
5.54,-11.4,-11.28,0
5.56,-11.4,-11.28,0
5.58,-11.4,-11.4,0
5.6,-11.4,-11.28,0
5.62,-11.4,-11.28,0
5.64,-11.4,-11.4,1
5.66,-11.4,-11.4,1
5.68,-11.4,-11.4,1
5.7,-11.4,-11.4,1
5.72,-11.4,-11.4,1
5.74,-11.4,-11.4,1
5.761,-11.4,-11.4,1
5.781,-11.4,-11.4,1
5.8,-11.4,-11.4,1
5.821,-11.4,-11.28,1
5.84,-11.03,-10.79,1
5.861,-10.42,-9.81,1
5.88,-9.57,-8.1,1
5.901,-7.86,-6.76,1
5.921,-6.51,-5.9,1
5.941,-5.41,-5.17,1
5.961,-4.56,-4.56,1
5.981,-3.7,-4.07,1
6.0,-3.09,-3.82,1
6.02,-2.72,-3.46,1
6.041,-2.48,-3.21,0
6.06,-1.99,-2.97,0
6.081,-1.63,-2.85,0
6.101,-1.5,-2.48,0
6.12,-1.38,-2.36,0
6.14,-1.38,-2.24,0
6.14,-1.01,-2.11,0
6.161,-0.89,-2.11,0
6.181,-0.89,-2.11,0
6.201,-0.89,-1.99,0
6.221,-0.89,-1.87,0
6.24,-0.65,-1.75,0
6.261,-0.77,-1.63,0
6.281,-0.65,-1.63,0
6.301,-0.53,-1.63,0
6.321,-0.65,-1.63,0
6.341,-0.28,-1.63,0
6.361,-0.4,-1.5,0
6.381,-0.4,-1.5,0
6.401,-0.53,-1.38,0
6.421,-0.53,-1.38,0
6.441,-0.28,-1.87,0
6.461,-2.36,-3.7,0
6.481,-4.31,-5.54,0
6.501,-5.78,-8.1,0
6.52,-7.98,-9.69,0
6.541,-9.45,-10.42,0
6.561,-10.42,-10.67,0
6.582,-10.79,-10.91,0
6.601,-11.03,-11.03,0
6.621,-11.03,-11.16,0
6.642,-11.16,-11.16,0
6.661,-11.28,-11.28,0
6.681,-11.28,-11.28,0
6.701,-11.4,-11.28,0
6.722,-11.28,-11.28,0
6.742,-11.4,-11.28,0
6.761,-11.4,-11.28,0
6.781,-11.4,-11.4,0
6.802,-11.4,-11.4,0
6.821,-11.4,-11.4,0
6.842,-11.4,-11.4,0
6.861,-11.4,-11.4,1
6.882,-11.4,-11.4,1
6.902,-11.4,-11.4,1
6.922,-11.52,-11.4,1
6.941,-11.4,-11.4,1
6.962,-11.4,-11.4,1
6.981,-11.4,-11.4,1
7.002,-11.4,-11.4,1
7.021,-11.52,-11.52,1
7.041,-11.4,-11.4,1
7.062,-11.03,-10.91,1
7.081,-10.42,-10.18,1
7.101,-9.2,-8.71,1
7.122,-7.49,-7.12,1
7.142,-6.02,-6.27,1
7.162,-4.92,-5.54,1
7.181,-4.31,-4.8,1
7.202,-3.46,-4.31,1
7.222,-2.97,-3.82,1
7.242,-2.85,-3.46,1
7.261,-2.36,-3.21,1
7.281,-1.99,-3.09,0
7.302,-1.5,-2.85,0
7.321,-1.5,-2.6,0
7.342,-1.38,-2.48,0
7.363,-1.38,-2.24,0
7.383,-1.14,-2.11,0
7.403,-0.89,-1.99,0
7.423,-0.89,-1.99,0
7.443,-0.77,-2.11,0
7.463,-0.77,-1.99,0
7.483,-0.65,-1.75,0
7.503,-0.53,-1.75,0
7.523,-0.53,-1.63,0
7.542,-0.53,-1.63,0
7.563,-0.53,-1.63,0
7.583,-0.16,-1.63,0
7.603,-0.16,-1.63,0
7.623,-0.28,-1.5,0
7.643,-0.28,-1.38,0
7.663,-0.28,-1.38,0
7.683,-0.4,-1.75,0
7.703,-2.48,-3.7,0
7.723,-4.31,-5.54,0
7.743,-5.78,-8.22,0
7.763,-7.98,-9.57,0
7.783,-9.45,-10.3,0
7.804,-10.42,-10.54,0
7.824,-10.67,-10.91,0
7.843,-10.91,-11.03,0
7.864,-11.03,-11.03,0
7.883,-11.16,-11.16,0
7.903,-11.28,-11.16,0
7.924,-11.28,-11.28,0
7.944,-11.28,-11.16,0
7.963,-11.4,-11.28,0
7.984,-11.4,-11.28,0
8.004,-11.4,-11.4,0
8.024,-11.28,-11.4,0
8.044,-11.4,-11.28,0
8.064,-11.4,-11.28,0
8.084,-11.4,-11.28,0
8.104,-11.4,-11.28,1
8.124,-11.4,-11.4,1
8.144,-11.4,-11.4,1
8.164,-11.52,-11.4,1
8.184,-11.4,-11.4,1
8.204,-11.4,-11.4,1
8.225,-11.52,-11.4,1
8.244,-11.52,-11.4,1
8.264,-11.52,-11.4,1
8.285,-11.4,-11.4,1
8.304,-10.91,-10.79,1
8.324,-10.3,-9.81,1
8.344,-9.32,-8.22,1
8.364,-7.49,-6.76,1
8.384,-6.02,-5.9,1
8.404,-5.05,-5.17,1
8.425,-4.31,-4.56,1
8.445,-3.46,-4.07,1
8.464,-3.09,-3.7,1
8.484,-2.72,-3.46,1
8.504,-2.48,-3.21,1
8.525,-2.11,-2.97,0
8.544,-1.38,-2.72,0
8.544,-1.38,-2.48,0
8.564,-1.26,-2.36,0
8.584,-1.38,-2.24,0
8.604,-1.14,-2.11,0
8.624,-0.77,-1.99,0
8.644,-0.89,-1.99,0
8.664,-0.77,-1.99,0
8.684,-0.77,-1.87,0
8.704,-0.77,-1.75,0
8.724,-0.4,-1.63,0
8.744,-0.53,-1.63,0
8.765,-0.53,-1.63,0
8.784,-0.53,-1.63,0
8.805,-0.28,-1.63,0
8.824,-0.16,-1.5,0
8.844,-0.28,-1.38,0
8.864,-0.4,-1.38,0
8.885,-0.4,-1.26,0
8.904,-0.65,-1.75,0
8.924,-2.6,-3.7,0
8.944,-4.44,-5.54,0
8.944,-5.78,-8.22,0
8.964,-7.98,-9.69,0
8.985,-9.57,-10.3,0
9.005,-10.42,-10.67,0
9.025,-10.79,-10.91,0
9.044,-11.03,-11.03,0
9.064,-11.03,-11.16,0
9.085,-11.16,-11.16,0
9.105,-11.28,-11.28,0
9.124,-11.28,-11.28,0
9.145,-11.28,-11.28,0
9.165,-11.4,-11.28,0
9.184,-11.4,-11.28,0
9.205,-11.4,-11.28,0
9.224,-11.4,-11.28,0
9.245,-11.4,-11.4,0
9.264,-11.4,-11.28,0
9.284,-11.4,-11.4,0
9.305,-11.4,-11.4,1
9.325,-11.4,-11.4,1
9.345,-11.4,-11.4,1
9.365,-11.4,-11.4,1
9.385,-11.4,-11.4,1
9.406,-11.4,-11.4,1
9.425,-11.4,-11.4,1
9.445,-11.52,-11.4,1
9.465,-11.4,-11.4,1
9.485,-11.4,-11.4,1
9.505,-10.91,-10.79,1
9.525,-10.18,-10.18,1
9.545,-8.83,-8.83,1
9.566,-7.0,-7.37,1
9.585,-5.66,-6.15,1
9.605,-4.8,-5.41,1
9.625,-4.07,-4.8,1
9.645,-3.21,-4.19,1
9.665,-2.85,-3.82,1
9.685,-2.48,-3.46,1
9.705,-2.24,-3.21,1
9.725,-1.75,-2.97,0
9.745,-1.38,-2.85,0
9.745,-1.38,-2.6,0
9.766,-1.26,-2.36,0
9.786,-1.14,-2.11,0
9.806,-0.89,-2.11,0
9.839,-0.89,-2.11,0
9.846,-0.89,-1.99,0
9.869,-0.89,-1.99,0
9.886,-0.77,-1.87,0
9.906,-0.53,-1.87,0
9.926,-0.77,-1.75,0
9.946,-0.65,-1.75,0
9.966,-0.65,-1.63,0
9.986,-0.4,-1.63,0
10.006,-0.28,-1.63,0
10.026,-0.4,-1.5,0
10.046,-0.4,-1.38,0
10.066,-0.4,-1.38,0
10.086,-1.87,-2.85,0
10.106,-3.95,-4.8,0
10.126,-5.41,-7.49,0
10.146,-7.37,-9.32,0
10.146,-9.45,-10.06,0
10.167,-10.3,-10.54,0
10.187,-10.67,-10.79,0
10.207,-10.91,-11.03,0
10.226,-11.03,-11.03,0
10.246,-11.28,-11.16,0
10.267,-11.28,-11.16,0
10.287,-11.28,-11.28,0
10.307,-11.28,-11.28,0
10.326,-11.4,-11.28,0
10.347,-11.4,-11.28,0
10.367,-11.4,-11.28,0
10.386,-11.4,-11.28,0
10.407,-11.4,-11.4,0
10.427,-11.4,-11.4,1
10.447,-11.4,-11.4,1
10.467,-11.4,-11.4,1
10.487,-11.4,-11.4,1
10.506,-11.4,-11.4,1
10.527,-11.4,-11.4,1
10.547,-11.4,-11.4,1
10.547,-11.4,-11.4,1
10.567,-11.4,-11.4,1
10.587,-11.52,-11.4,1
10.607,-11.4,-11.4,1
10.628,-10.91,-10.91,1
10.647,-10.3,-9.93,1
10.667,-9.2,-8.22,1
10.687,-7.25,-6.88,1
10.707,-5.78,-5.66,1
10.728,-4.8,-5.17,1
10.747,-4.19,-4.68,1
10.767,-3.34,-4.07,1
10.787,-2.85,-3.7,1
10.807,-2.48,-3.34,1
10.828,-2.24,-2.97,1
10.847,-1.99,-2.85,1
10.867,-1.38,-2.72,0
10.887,-1.38,-2.36,0
10.907,-1.26,-2.36,0
10.927,-1.26,-2.11,0
10.947,-1.14,-1.99,0
10.947,-0.77,-1.99,0
10.967,-0.77,-1.87,0
10.987,-0.89,-1.75,0
11.008,-0.77,-1.87,0
11.028,-0.53,-1.75,0
11.048,-0.65,-1.63,0
11.067,-0.65,-1.63,0
11.088,-0.53,-1.5,0
11.108,-0.53,-1.5,0
11.127,-0.04,-1.5,0
11.148,-0.4,-1.5,0
11.168,-0.4,-1.38,0
11.188,-0.4,-1.26,0
11.208,-1.5,-2.48,0
11.228,-3.58,-4.44,0
11.248,-5.17,-6.88,0
11.268,-7.0,-9.08,0
11.288,-9.08,-10.06,0
11.307,-10.18,-10.54,0
11.328,-10.54,-10.79,0
11.347,-10.91,-11.03,0
11.347,-11.03,-11.16,0
11.368,-11.16,-11.16,0
11.389,-11.16,-11.28,0
11.407,-11.28,-11.28,0
11.428,-11.4,-11.28,0
11.448,-11.4,-11.28,0
11.468,-11.4,-11.28,0
11.488,-11.28,-11.4,0
11.508,-11.4,-11.4,0
11.528,-11.4,-11.4,0
11.547,-11.4,-11.28,0
11.568,-11.4,-11.4,1
11.588,-11.4,-11.4,1
11.608,-11.52,-11.4,1
11.628,-11.4,-11.4,1
11.648,-11.4,-11.4,1
11.668,-11.4,-11.4,1
11.688,-11.4,-11.4,1
11.708,-11.4,-11.4,1
11.728,-11.52,-11.4,1
11.748,-11.4,-11.4,1
11.748,-11.03,-11.03,1
11.768,-10.42,-10.18,1
11.788,-9.45,-8.47,1
11.808,-7.49,-6.88,1
11.828,-6.02,-5.9,1
11.848,-4.92,-5.17,1
11.868,-4.19,-4.56,1
11.888,-3.58,-4.07,1
11.908,-2.85,-3.7,1
11.928,-2.6,-3.34,1
11.948,-2.24,-3.09,1
11.968,-1.99,-2.85,1
11.988,-1.63,-2.72,0
12.008,-1.38,-2.6,0
12.028,-1.26,-2.36,0
12.048,-1.26,-2.24,0
12.068,-1.14,-2.11,0
12.088,-0.77,-1.99,0
12.108,-0.89,-1.99,0
12.128,-0.65,-1.99,0
12.148,-0.77,-1.87,0
12.148,-0.65,-1.63,0
12.168,-0.4,-1.63,0
12.188,-0.53,-1.63,0
12.208,-0.65,-1.5,0
12.228,-0.4,-1.5,0
12.248,-0.16,-1.63,0
12.268,-0.28,-1.5,0
12.288,-0.28,-1.38,0
12.308,-0.28,-1.38,0
12.328,-1.26,-2.36,0
12.348,-3.34,-4.07,0
12.368,-5.05,-6.02,0
12.388,-6.76,-8.59,0
12.408,-9.08,-9.81,0
12.428,-10.18,-10.3,0
12.448,-10.54,-10.67,0
12.468,-10.91,-10.91,0
12.488,-11.03,-11.03,0
12.508,-11.16,-11.16,0
12.528,-11.16,-11.16,0
12.548,-11.28,-11.28,0
12.568,-11.28,-11.28,0
12.588,-11.4,-11.28,0
12.608,-11.4,-11.28,0
12.629,-11.28,-11.28,0
12.648,-11.4,-11.28,0
12.668,-11.4,-11.4,0
12.688,-11.4,-11.28,0
12.708,-11.4,-11.28,1
12.728,-11.4,-11.4,1
12.749,-11.52,-11.4,1
12.769,-11.52,-11.4,1
12.788,-11.4,-11.4,1
12.808,-11.4,-11.4,1
12.828,-11.52,-11.4,1
12.848,-11.4,-11.4,1
12.869,-11.4,-11.4,1
12.888,-11.4,-11.4,1
12.909,-11.16,-11.03,1
12.928,-10.54,-10.42,1
12.949,-9.57,-9.69,1
12.969,-7.86,-8.71,1
12.989,-6.02,-7.25,1
13.009,-5.05,-6.15,1
13.029,-4.31,-5.29,1
13.049,-3.7,-4.8,1
13.069,-2.97,-4.31,1
13.089,-2.72,-3.82,1
13.109,-2.36,-3.46,1
13.129,-2.11,-3.21,1
13.149,-1.75,-2.97,1
13.169,-1.26,-2.72,0
13.189,-1.26,-2.6,0
13.209,-1.26,-2.48,0
13.23,-1.26,-2.24,0
13.249,-1.01,-2.11,0
13.269,-0.77,-1.99,0
13.289,-0.65,-1.87,0
13.309,-0.77,-1.99,0
13.329,-0.89,-1.87,0
13.349,-0.4,-1.75,0
13.349,-0.65,-1.75,0
13.37,-0.77,-1.63,0
13.389,-0.53,-1.63,0
13.409,-0.4,-1.63,0
13.43,-0.16,-1.63,0
13.45,-0.4,-1.5,0
13.47,-0.4,-1.5,0
13.49,-1.14,-1.99,0
13.509,-3.21,-3.95,0
13.529,-4.92,-6.15,0
13.55,-6.39,-8.71,0
13.569,-8.83,-9.81,0
13.589,-10.06,-10.42,0
13.61,-10.54,-10.67,0
13.63,-10.79,-10.91,0
13.65,-11.03,-11.16,0
