Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.213,-7.49,-7.86,1
0.233,-7.61,-7.86,1
0.253,-7.61,-7.98,1
0.31,-7.49,-7.86,1
0.31,-7.61,-7.86,1
0.317,-7.49,-7.86,1
0.333,-7.61,-7.98,1
0.353,-7.49,-7.86,1
0.373,-7.61,-7.86,1
0.394,-7.49,-7.86,1
0.414,-7.49,-7.86,1
0.433,-7.61,-7.86,1
0.453,-7.49,-7.86,1
0.474,-7.49,-7.86,1
0.493,-7.61,-7.86,1
0.514,-7.61,-7.86,1
0.533,-7.49,-7.86,1
0.553,-7.49,-7.86,1
0.573,-7.61,-7.86,1
0.594,-7.49,-7.86,1
0.613,-7.49,-7.86,1
0.614,-7.49,-7.86,1
0.635,-7.49,-7.86,1
0.655,-7.49,-7.86,1
0.675,-7.61,-7.86,1
0.695,-7.49,-7.98,1
0.714,-7.61,-7.86,1
0.735,-7.61,-7.86,1
0.754,-7.49,-7.98,1
0.774,-7.61,-7.86,1
0.795,-7.61,-7.86,1
0.815,-7.61,-7.86,1
0.834,-7.61,-7.86,1
0.854,-7.61,-7.86,1
0.874,-7.61,-7.86,1
0.895,-7.49,-7.86,1
0.915,-7.61,-7.86,1
0.935,-7.61,-7.86,1
0.955,-7.61,-7.86,1
0.975,-7.61,-7.86,1
0.994,-7.49,-7.86,1
1.015,-7.61,-7.86,1
1.035,-7.49,-7.86,1
1.055,-7.49,-7.86,1
1.075,-7.61,-7.86,1
1.095,-7.61,-7.86,1
1.115,-7.61,-7.86,1
1.136,-7.61,-7.86,1
1.155,-7.61,-7.86,1
1.175,-7.61,-7.86,1
1.196,-7.49,-7.86,1
1.215,-7.49,-7.86,1
1.235,-7.49,-7.86,1
1.255,-7.49,-7.86,1
1.275,-7.49,-7.86,1
1.295,-7.61,-7.86,1
1.315,-7.61,-7.86,1
1.335,-7.61,-7.86,1
1.355,-7.61,-7.86,1
1.375,-7.61,-7.86,1
1.395,-7.61,-7.86,1
1.415,-7.61,-7.98,1
1.436,-7.49,-7.98,1
1.456,-7.49,-7.86,1
1.476,-7.49,-7.86,1
1.495,-7.61,-7.98,1
1.515,-7.49,-7.86,1
1.535,-7.49,-7.86,1
1.555,-7.49,-7.86,1
1.575,-7.61,-7.86,1
1.596,-7.49,-7.86,1
1.616,-7.61,-7.86,1
1.636,-7.61,-7.86,1
1.656,-7.61,-7.98,1
1.675,-7.61,-7.98,1
1.695,-7.61,-7.86,1
1.716,-7.61,-7.98,1
1.735,-7.49,-7.86,1
1.756,-7.49,-7.86,1
1.776,-7.61,-7.86,1
1.796,-7.61,-7.86,1
1.815,-7.49,-7.86,1
1.836,-7.61,-7.86,1
1.856,-7.61,-7.86,1
1.876,-7.61,-7.98,1
1.896,-7.61,-7.98,1
1.916,-7.49,-7.86,1
1.936,-7.61,-7.86,1
1.956,-7.61,-7.86,1
1.976,-7.49,-7.86,1
1.996,-7.61,-7.86,1
2.016,-7.61,-7.86,1
2.035,-7.61,-7.86,1
2.056,-7.61,-7.86,1
2.076,-7.49,-7.86,1
2.096,-7.61,-7.86,1
2.116,-7.49,-7.86,1
2.162,-7.49,-7.86,1
2.167,-7.49,-7.86,1
2.176,-7.61,-7.86,1
2.196,-7.49,-7.86,1
2.216,-7.49,-7.86,1
2.237,-7.61,-7.86,1
2.257,-7.61,-7.86,1
2.277,-7.61,-7.86,1
2.296,-7.49,-7.86,1
2.317,-7.61,-7.86,1
2.336,-7.61,-7.86,1
2.356,-7.61,-7.86,1
2.376,-7.61,-7.86,1
2.397,-7.49,-7.86,1
2.416,-7.61,-7.86,1
2.436,-7.61,-7.86,1
2.457,-7.49,-7.86,1
2.477,-7.61,-7.86,1
2.497,-7.49,-7.86,1
2.517,-7.61,-7.86,1
2.537,-7.49,-7.86,1
2.556,-7.61,-7.86,1
2.577,-7.49,-7.86,1
2.596,-7.61,-7.86,1
2.617,-7.49,-7.86,1
2.637,-7.61,-7.86,1
2.657,-7.49,-7.98,1
2.678,-7.49,-7.98,1
2.698,-7.61,-7.86,1
2.717,-7.61,-7.86,1
2.737,-7.49,-7.98,1
2.758,-7.61,-7.86,1
2.777,-7.61,-7.86,1
2.797,-7.61,-7.86,1
2.817,-7.49,-7.86,1
2.837,-7.61,-7.86,1
2.857,-7.61,-7.86,1
2.878,-7.61,-7.86,1
2.897,-7.61,-7.86,1
2.918,-7.49,-7.86,1
2.937,-7.49,-7.86,1
2.958,-7.61,-7.86,1
2.977,-7.49,-7.86,1
2.997,-7.49,-7.86,1
3.017,-7.61,-7.86,1
3.017,-7.49,-7.98,1
3.037,-7.61,-7.86,1
3.058,-7.49,-7.86,1
3.078,-7.49,-7.86,1
3.097,-7.61,-7.86,1
3.117,-7.49,-7.86,1
3.138,-7.61,-7.86,1
3.158,-7.61,-7.86,1
3.178,-7.61,-7.86,1
3.197,-7.61,-7.86,1
3.218,-7.49,-7.86,1
3.238,-7.49,-7.86,1
3.258,-7.61,-7.86,1
3.278,-7.49,-7.98,1
3.298,-7.61,-7.86,1
3.318,-7.49,-7.86,1
3.337,-7.49,-7.86,1
3.358,-7.49,-7.86,1
3.377,-7.49,-7.86,1
3.398,-7.61,-7.86,1
3.418,-7.61,-7.86,1
3.438,-7.49,-7.86,1
3.459,-7.25,-7.86,1
3.478,-7.0,-7.86,1
3.498,-6.88,-7.86,1
3.519,-7.0,-7.86,1
3.539,-7.12,-7.86,1
3.558,-7.12,-7.86,1
3.578,-7.25,-7.98,1
3.598,-7.25,-7.86,1
3.619,-7.37,-7.86,1
3.638,-7.37,-7.86,1
3.658,-7.37,-7.98,1
3.679,-7.49,-7.86,1
3.729,-7.49,-7.86,1
3.73,-7.49,-7.86,1
3.738,-7.49,-7.86,1
3.759,-7.49,-7.86,1
3.779,-7.49,-7.86,1
3.799,-7.49,-7.86,1
3.819,-7.49,-7.86,1
3.839,-7.49,-8.1,1
3.859,-7.49,-8.47,1
3.88,-7.49,-8.83,1
3.9,-7.49,-8.96,1
3.919,-7.49,-8.83,1
3.94,-7.61,-8.59,1
3.959,-7.49,-8.35,1
3.979,-7.49,-8.22,1
4.0,-7.49,-8.1,1
4.02,-7.49,-8.1,1
4.04,-7.49,-7.98,1
4.06,-7.49,-7.98,1
4.08,-7.49,-7.98,1
4.1,-7.61,-7.98,1
4.12,-7.61,-7.98,1
4.139,-7.61,-7.98,1
4.159,-7.61,-7.98,1
