Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
0.085,-7.61,-7.86,1
0.105,-7.61,-7.86,1
0.125,-7.61,-7.86,1
0.145,-7.61,-7.86,1
0.165,-7.61,-7.86,1
0.185,-7.61,-7.86,1
0.205,-7.61,-7.86,1
0.225,-7.61,-7.86,1
0.245,-7.49,-7.86,1
0.265,-7.61,-7.86,1
0.285,-7.61,-7.86,1
0.305,-7.61,-7.86,1
0.325,-7.49,-7.86,1
0.345,-7.61,-7.86,1
0.365,-7.61,-7.86,1
0.385,-7.61,-7.86,1
0.405,-7.61,-7.86,1
0.425,-7.61,-7.86,1
0.445,-7.49,-7.86,1
0.465,-7.61,-7.86,1
0.485,-7.61,-7.86,1
0.505,-7.49,-7.86,1
0.525,-7.61,-7.86,1
0.545,-7.49,-7.86,1
0.565,-7.49,-7.98,1
0.585,-7.49,-7.86,1
0.605,-7.49,-7.86,1
0.625,-7.49,-7.86,1
0.645,-7.49,-7.86,1
0.665,-7.49,-7.86,1
0.685,-7.61,-7.86,1
0.705,-7.49,-7.86,1
0.725,-7.49,-7.86,1
0.745,-7.49,-7.86,1
0.765,-7.61,-7.86,1
0.785,-7.61,-7.86,1
0.805,-7.61,-7.86,1
0.825,-7.61,-7.86,1
0.845,-7.61,-7.86,1
0.865,-7.49,-7.86,1
0.886,-7.49,-7.86,1
0.906,-7.49,-7.86,1
0.926,-7.49,-7.86,1
0.946,-7.49,-7.86,1
0.966,-7.49,-7.98,1
0.986,-7.49,-7.86,1
1.006,-7.49,-7.98,1
1.026,-7.49,-7.86,1
1.046,-7.49,-7.86,1
1.066,-7.49,-7.98,1
1.086,-7.61,-7.86,1
1.106,-7.49,-7.86,1
1.126,-7.49,-7.86,1
1.146,-7.61,-7.86,1
1.166,-7.61,-7.86,1
1.186,-7.49,-7.86,1
1.206,-7.49,-7.86,1
1.226,-7.61,-7.86,1
1.246,-7.49,-7.86,1
1.266,-7.61,-7.86,1
1.286,-7.61,-7.86,1
1.286,-7.49,-7.86,1
1.306,-7.49,-7.86,1
1.326,-7.49,-7.86,1
1.346,-7.61,-7.86,1
1.366,-7.61,-7.86,1
1.386,-7.61,-7.98,1
1.406,-7.61,-7.86,1
1.426,-7.61,-7.86,1
1.446,-7.61,-7.98,1
1.466,-7.61,-7.86,1
1.487,-7.49,-7.98,1
1.506,-7.61,-7.86,1
1.526,-7.49,-7.98,1
1.546,-7.61,-7.86,1
1.566,-7.61,-7.86,1
1.586,-7.61,-7.86,1
1.606,-7.61,-7.86,1
1.626,-7.49,-7.86,1
1.646,-7.49,-7.86,1
1.666,-7.61,-7.86,1
1.686,-7.49,-7.86,1
1.687,-7.61,-7.86,1
1.707,-7.49,-7.86,1
1.728,-7.61,-7.86,1
1.747,-7.61,-7.98,1
1.767,-7.49,-7.86,1
1.787,-7.61,-7.86,1
1.807,-7.61,-7.86,1
1.827,-7.61,-7.86,1
1.847,-7.61,-7.98,1
1.867,-7.61,-7.86,1
1.887,-7.49,-7.86,1
1.907,-7.49,-7.86,1
1.927,-7.49,-7.86,1
1.947,-7.61,-7.86,1
1.967,-7.61,-7.86,1
1.987,-7.61,-7.98,1
2.007,-7.61,-7.86,1
2.027,-7.61,-7.86,1
2.047,-7.61,-7.86,1
2.067,-7.61,-7.98,1
2.087,-7.61,-7.86,1
2.088,-7.61,-7.86,1
2.108,-7.61,-7.86,1
2.128,-7.49,-7.86,1
2.148,-7.61,-7.86,1
2.168,-7.49,-7.86,1
2.188,-7.61,-7.86,1
2.208,-7.61,-7.86,1
2.228,-7.49,-7.86,1
2.248,-7.49,-7.86,1
2.268,-7.61,-7.86,1
2.288,-7.61,-7.86,1
2.308,-7.61,-7.86,1
2.328,-7.61,-7.98,1
2.348,-7.61,-7.86,1
2.368,-7.61,-7.98,1
2.388,-7.61,-7.86,1
2.408,-7.49,-7.86,1
2.428,-7.61,-7.86,1
2.448,-7.61,-7.86,1
2.468,-7.61,-7.86,1
2.488,-7.61,-7.98,1
2.508,-7.61,-7.86,1
2.528,-7.61,-7.86,1
2.548,-7.61,-7.86,1
2.569,-7.61,-7.86,1
2.588,-7.61,-7.86,1
2.608,-7.61,-7.86,1
2.628,-7.61,-7.86,1
2.648,-7.49,-7.86,1
2.668,-7.49,-7.86,1
2.688,-7.61,-7.86,1
2.708,-7.49,-7.86,1
2.728,-7.49,-7.86,1
2.748,-7.61,-7.86,1
2.768,-7.61,-7.86,1
2.788,-7.61,-7.98,1
2.808,-7.61,-7.86,1
2.828,-7.49,-7.98,1
2.848,-7.61,-7.86,1
2.868,-7.61,-7.86,1
2.889,-7.49,-7.86,1
2.909,-7.61,-7.86,1
2.929,-7.61,-7.86,1
2.949,-7.61,-7.86,1
2.969,-7.61,-7.86,1
2.989,-7.49,-7.86,1
3.009,-7.61,-7.98,1
3.029,-7.61,-7.86,1
3.049,-7.61,-7.86,1
3.069,-7.61,-7.86,1
3.089,-7.61,-7.86,1
3.109,-7.61,-7.86,1
3.129,-7.49,-7.86,1
3.149,-7.61,-7.86,1
3.169,-7.61,-7.86,1
3.189,-7.49,-7.86,1
3.209,-7.49,-7.86,1
3.229,-7.61,-7.86,1
3.249,-7.61,-7.86,1
3.269,-7.49,-7.86,1
3.289,-7.49,-7.86,1
3.309,-7.25,-7.98,1
3.329,-6.88,-7.98,1
3.349,-6.76,-7.86,1
3.369,-6.88,-7.86,1
3.389,-7.0,-7.98,1
3.409,-7.12,-7.86,1
3.429,-7.25,-7.86,1
3.449,-7.37,-7.86,1
3.469,-7.37,-7.86,1
3.489,-7.37,-7.86,1
3.509,-7.37,-7.86,1
3.529,-7.49,-7.86,1
3.549,-7.49,-7.86,1
3.569,-7.49,-7.86,1
3.589,-7.49,-7.86,1
3.609,-7.49,-7.86,1
3.629,-7.49,-7.86,1
3.649,-7.49,-7.98,1
3.669,-7.49,-7.86,1
3.69,-7.49,-7.98,1
3.71,-7.49,-8.35,1
3.73,-7.49,-8.71,1
3.75,-7.49,-8.83,1
3.77,-7.49,-8.71,1
3.79,-7.49,-8.47,1
3.81,-7.49,-8.35,1
3.83,-7.49,-8.22,1
3.85,-7.49,-8.1,1
3.87,-7.49,-8.1,1
3.89,-7.49,-7.98,1
3.91,-7.49,-7.98,1
3.93,-7.49,-7.98,1
3.95,-7.49,-7.98,1
3.97,-7.49,-7.98,1
3.99,-7.49,-7.98,1
4.01,-7.49,-7.98,1
4.03,-7.49,-7.86,1
4.05,-7.49,-7.98,1
4.07,-7.49,-7.98,1
4.09,-7.49,-7.86,1
4.09,-7.49,-7.98,1
4.11,-7.49,-7.98,1
4.13,-7.49,-7.86,1
4.15,-7.49,-7.98,1
4.17,-7.49,-7.86,1
4.19,-7.49,-7.86,1
4.21,-7.49,-7.98,1
4.23,-7.61,-7.98,1
4.25,-7.49,-7.86,1
4.27,-7.49,-7.98,1
4.29,-7.49,-7.86,1
4.31,-7.61,-7.98,1
4.33,-7.49,-7.98,1
4.35,-7.49,-7.98,1
4.37,-7.49,-7.86,1
4.39,-7.49,-7.98,1
4.41,-7.49,-7.98,1
4.43,-7.49,-7.98,1
4.45,-7.49,-7.86,1
4.47,-7.49,-7.86,1
4.49,-7.49,-7.98,1
4.491,-7.49,-7.86,1
4.511,-7.49,-7.86,1
4.531,-7.49,-7.86,1
4.551,-7.0,-7.86,1
4.571,-6.39,-7.49,1
4.591,-5.9,-6.88,1
4.611,-5.54,-6.51,1
4.631,-5.17,-6.27,1
4.651,-4.92,-6.02,1
4.671,-4.92,-5.78,1
4.691,-4.8,-5.54,1
4.711,-4.56,-5.54,1
4.731,-4.44,-5.29,1
4.751,-4.44,-5.29,1
4.771,-4.44,-5.17,1
4.791,-4.31,-5.05,1
4.811,-4.31,-5.05,1
4.831,-4.44,-5.05,1
4.851,-4.44,-5.05,1
4.871,-4.31,-5.05,0
4.891,-4.07,-5.05,0
4.911,-4.07,-5.05,0
4.931,-4.07,-5.05,0
4.951,-4.07,-4.92,0
4.971,-4.07,-4.92,0
4.991,-4.19,-4.92,0
5.011,-4.31,-4.8,0
